AÑO,MES,DIA,FOLIO,CLAVE,NOMBRE,PRECIO,CANTIDAD
2023,10,2,22948, QUFSMM1, ADOBERA SAN MIGUEL DORADA 1K (PRO) 135,134,1.525
2023,10,2,22948, MAD, MARGARINA DAISY 1KG,55,4
2023,10,2,22948, CRIO, CREMA IMPERIAL ORO,59,1
2023,10,2,22949, QUCMMD, QUESO CUBICADO MIXTO MAYOREO (PRO),77.5,30
2023,10,2,22949, CRIOC, CREMA IMPERIAL ORO CUBETA 18KG,1064,1
2023,10,2,22950, QUMEVB, QUESO MOLIDO ECONOMICO VANIA (PRO) 5KG,137.5,1
2023,10,2,22951, CRL4, CREMA LALA 4L CUBETA  (PRO),219,3
2023,10,2,22952, CRE, CREMA EXTRA,34,3
2023,10,2,22953, CRE, CREMA EXTRA,34,1.5
2023,10,2,22954, CREC, CREMA EXTRA CUBETA 18KG,614,12
2023,10,2,22955, QU, QUESO PANELA IMPERIAL 69,45,1
2023,10,2,22955, CRP, CREMA PURA,22,2
2023,10,2,22956, QUAMM, ADOBERA FUNDIR MOY 1/2KG 139,69.5,2
2023,10,2,22956, QUAM, ADOBERA FUNDIR MOY 1/4KG 139,34.75,6
2023,10,2,22956, ADFS, ADOBERA FUNDIR SANDRITA 1/4KG 165,41.25,6
2023,10,2,22956, CUMK, CUERITOS MEXICANO 1KG,22.5,4
2023,10,2,22956, REIO, REQUESON IMPERIAL ORO 47,47,1
2023,10,2,22956, JAPVVV, JAMON PAVO AROOS (PRO),71.5,1
2023,10,2,22957, CRP, CREMA PURA,22,20
2023,10,2,22958, CRL4, CREMA LALA 4L CUBETA  (PRO),219,4
2023,10,2,22959, QUFSMD, ADOBERA SAN MIGUEL DORADA 1/4KG 135,33.5,8
2023,10,2,22959, QUCCMDI, QUESO MIXTO IMPERIAL (PRO) (SEPULVEDA),74.5,2
2023,10,2,22960, CRE, CREMA EXTRA,34,3
2023,10,2,22961, TOHIR, TORTILLA HARINA IMPERIAL 8PZ,12.5,3
2023,10,2,22961, CRCCHORRO, CREMA IMPERIAL              ,44,10
2023,10,2,22962, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105,105,6.515
2023,10,2,22963, QUPC1, CUERITOS PICADOS CASTA√ëEDA 1KG (PRO),21,1
2023,10,2,22964, ADFRK, ADOBERA FUNDIR RAMIREZ 1KG (PRO) 106,106,23.84
2023,10,2,22964, REZM, REQUESON ORDENA MAYOR DIEZ (PRO) 41,41,12
2023,10,2,22964, CUP1, CUERITOS PICADOS IMPERIAL 1KG,17.5,8
2023,10,2,22964, CRPM, CREMA PURA MAYOREO,21,35
2023,10,2,22965, CHPR, CHICHARRON PRENSADO ROJO (PRO) 129,129,5
2023,10,2,22965, ZCAPG, CATSUP EN PORCIONES 8GR (1000PZ) (GMI),195,5
2023,10,2,22965, CRP, CREMA PURA,22,3
2023,10,2,22966, CRCCHORRO, CREMA IMPERIAL              ,44,3
2023,10,2,22967, QUOIM, QUESO OAXACA IMPERIAL 1/2KG 89,44.5,1
2023,10,2,22968, ACOM1, ACEITE OLIVA E.V. MONASTERIO 1L,89,2
2023,10,2,22969, TOEIP, TOCINO ESPECIAL IMPERIAL 122 ,122,0.25
2023,10,2,22970, QUAMK, ADOBERA FUNDIR MOY 1KG 139,139,0.49
2023,10,2,22971, CRL4, CREMA LALA 4L CUBETA  (PRO),219,6
2023,10,2,22972, ARRI, ARRACHERA MARINADA IMPERIAL,84,2
2023,10,2,22972, CUP1, CUERITOS PICADOS IMPERIAL 1KG,17.5,1
2023,10,2,22972, QUCB, QUESO CREMA IMPERIAL KILO,53,1
2023,10,2,22973, ADFSK, ADOBERA FUNDIR SANDRITA 165,165,2.43
2023,10,2,22973, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105,105,2.12
2023,10,2,22973, CRIO, CREMA IMPERIAL ORO,59,4
2023,10,2,22973, JAYR, JAMON YORK RIOJA (PRO),101.5,4
2023,10,2,22974, CRLL, CREMA LALA 900L ROJA,69,1
2023,10,2,22974, QUC1, QUESO COTIJA SECO 1 TROZO 107,107,4.1
2023,10,2,22974, CRCCHORRO, CREMA IMPERIAL              ,44,8
2023,10,2,22975, QUPC, QUESO PANELA IMPERIAL CUADRADA 1KG 69,69,1
2023,10,2,22975, REIO, REQUESON IMPERIAL ORO 47,47,0.5
2023,10,2,22975, CRCCHORRO, CREMA IMPERIAL              ,44,1
2023,10,2,22976, CRCCHORRO, CREMA IMPERIAL              ,44,1
2023,10,2,22977, QUOSJ, QUESO OAXACA IMPERIAL ORO 1/2KG 122,61,1
2023,10,2,22977, CRIO, CREMA IMPERIAL ORO,59,0.5
2023,10,2,22978, CRCCHORRO, CREMA IMPERIAL              ,44,3
2023,10,2,22979, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105,105,5.8
2023,10,2,22979, QUFSMM1, ADOBERA SAN MIGUEL DORADA 1K (PRO) 135,134,4.04
2023,10,2,22979, QUFSMDM, ADOBERA SAN MIGUEL DORADA 1/2KG 135,67,8
2023,10,2,22980, ARRI, ARRACHERA MARINADA IMPERIAL,84,20
2023,10,2,22981, CUE1, CUERITOS ENTEROS IMPERIAL 1KG,17.5,1
2023,10,2,22982, QUCMI, QUESO CUBICADO MIXTO IMPERIAL (PRO),79.5,6
2023,10,2,22982, JAR, JAMON AMERICANO RIOJA (PRO),71,3
2023,10,2,22983, CRE, CREMA EXTRA,34,8
2023,10,2,22984, REZ, REQUESON ORDENA (PRO) 43,43,4
2023,10,2,22984, TOI, TOCINO IMPERIAL ,112,2
2023,10,2,22985, MAD1K, MANTEQUILLA DAISY 1KG,107,2
2023,10,2,22986, QUAMK, ADOBERA FUNDIR MOY 1KG 139,139,2.405
2023,10,2,22987, CRIO, CREMA IMPERIAL ORO,59,0.5
2023,10,2,22988, REZ, REQUESON ORDENA (PRO) 43,43,1.5
2023,10,2,22988, QUFSMDM, ADOBERA SAN MIGUEL DORADA 1/2KG 135,67,1
2023,10,2,22989, QUOSMM, QUESO OAXACA SAN MIGUEL 1/2K (PRO) 136,68,1
2023,10,2,22989, REIO, REQUESON IMPERIAL ORO 47,47,0.5
2023,10,2,22989, SAPY, SALCHICHA PAVO YOSSI (PRO) ,75,1
2023,10,2,22989, ZAV3, ZANAHORIA VITROLERO 3.8KG,34,1
2023,10,2,22990, CRIO, CREMA IMPERIAL ORO,59,0.5
2023,10,2,22991, QU, QUESO PANELA IMPERIAL 69,45,1
2023,10,2,22992, CHRZG, CHILES RAJAS GRANEL (PRO),37,1.5
2023,10,2,22993, QUC1, QUESO COTIJA SECO 1 TROZO 107,107,3.32
2023,10,2,22994, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105,105,2.015
2023,10,2,22994, CRIO, CREMA IMPERIAL ORO,59,2
2023,10,2,22995, QUAM, ADOBERA FUNDIR MOY 1/4KG 139,34.75,6
2023,10,2,22995, CRIO, CREMA IMPERIAL ORO,59,2
2023,10,2,22996, ADFS, ADOBERA FUNDIR SANDRITA 1/4KG 165,41.25,1
2023,10,2,22997, CRIO, CREMA IMPERIAL ORO,59,3
2023,10,2,22998, CAYG, CATSUP YOLI GALON,70,2
2023,10,2,22998, MOP3, MOLE PROVINCIANO 3KG,194,1
2023,10,2,22999, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105,105,3.79
2023,10,2,23000, QUCAI, QUESO COTIJA ANEJO IMPERIAL 154,154,0.685
2023,10,2,23000, REIO, REQUESON IMPERIAL ORO 47,47,0.58
2023,10,2,23001, EXQAD, EXHIBIDOR QUESO AMARILLO DAISY,93,1
2023,10,2,23001, CHRZG, CHILES RAJAS GRANEL (PRO),37,1
2023,10,2,23001, TOZFR1, TOCINO ESPECIAL ACOMODADO 129,129,0.25
2023,10,2,23002, JUSZL, JUGO SAZONADOR LOVE KITCHEN 1L (PRO),82,1
2023,10,2,23002, CRE, CREMA EXTRA,34,3
2023,10,2,23003, CRIO, CREMA IMPERIAL ORO,59,1
2023,10,2,23004, JAEA, JAMON ESPALDILLA AROOS (PRO),44,3
2023,10,2,23005, CUE1, CUERITOS ENTEROS IMPERIAL 1KG,17.5,4
2023,10,2,23005, SAYMD, SALCHICHA HOT DOG YOSSI  MAYOREO (PRO),85,10
2023,10,2,23005, CARA, CARNE RES AMPARITO 1KG,66,3
2023,10,2,23006, QUM, QUESO MOLIDO MONARCA ,76,4
2023,10,2,23006, REIO, REQUESON IMPERIAL ORO 47,47,2
2023,10,2,23006, QUC1M, QUESO COTIJA SECO 1 MOLIDO 107,107,1
2023,10,2,23006, CRZP, CREMA ORDE√ëA (PRO),29,6
2023,10,2,23007, QUPC1, CUERITOS PICADOS CASTA√ëEDA 1KG (PRO),21,1
2023,10,2,23008, CHGV, CHILES GUEROS VITROLERO 3KG,210,1
2023,10,2,23009, REZM, REQUESON ORDENA MAYOR DIEZ (PRO) 41,41,10
2023,10,2,23010, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105,105,3
2023,10,2,23011, CRCCHORRO, CREMA IMPERIAL              ,44,1
2023,10,2,23012, TOI, TOCINO IMPERIAL ,112,2
2023,10,2,23012, CRCCHORRO, CREMA IMPERIAL              ,44,6
2023,10,2,23013, CRCCHORRO, CREMA IMPERIAL              ,44,4
2023,10,2,23014, RET, RECORTE TOCINO IMPERIAL,69,0.25
2023,10,2,23015, SAPZC1, SALCHICHA PAVO CAPIS 1KG (PRO),62,2
2023,10,2,23015, CRE, CREMA EXTRA,34,5
2023,10,2,23015, TOZFR1, TOCINO ESPECIAL ACOMODADO 129,129,1
2023,10,2,23016, QUAM, ADOBERA FUNDIR MOY 1/4KG 139,34.75,8
2023,10,2,23016, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105,105,2.08
2023,10,2,23017, CHRZG, CHILES RAJAS GRANEL (PRO),37,1
2023,10,2,23017, JAR, JAMON AMERICANO RIOJA (PRO),71,1
2023,10,2,23018, CRE, CREMA EXTRA,34,1
2023,10,2,23018, CRP, CREMA PURA,22,1
2023,10,2,23019, CUP1, CUERITOS PICADOS IMPERIAL 1KG,17.5,10
2023,10,2,23020, QUOSJ1, QUESO OAXACA IMPERIAL ORO 1/4KG 122,30.5,4
2023,10,2,23020, QU, QUESO PANELA IMPERIAL 69,45,1
2023,10,2,23020, EXQAS, EXHIBIDOR QUESO AMARILLO SABINO,119,1
2023,10,2,23021, CRIO, CREMA IMPERIAL ORO,59,0.25
2023,10,2,23022, CRCCHORRO, CREMA IMPERIAL              ,44,2
2023,10,2,23022, JAR, JAMON AMERICANO RIOJA (PRO),71,0.5
2023,10,2,23023, ARRI, ARRACHERA MARINADA IMPERIAL,84,1
2023,10,2,23023, QUCMI, QUESO CUBICADO MIXTO IMPERIAL (PRO),79.5,3
2023,10,2,23023, CHRV3, CHILES RODAJAS VITROLERO 3.8KG,69,1
2023,10,2,23024, CRCCHORRO, CREMA IMPERIAL              ,44,3
2023,10,2,23025, JAR, JAMON AMERICANO RIOJA (PRO),71,1
2023,10,2,23026, CRIO, CREMA IMPERIAL ORO,59,0.5
2023,10,2,23027, ARRI, ARRACHERA MARINADA IMPERIAL,84,1
2023,10,2,23028, JAR, JAMON AMERICANO RIOJA (PRO),71,5
2023,10,2,23028, CAYGC, CATSUP YOLI GALON (4PZ),273,1
2023,10,2,23029, SAYM, SALCHICHA HOT DOG YOSSI (PRO),87,1
2023,10,2,23029, CHRZG, CHILES RAJAS GRANEL (PRO),37,0.5
2023,10,2,23029, TOEIP, TOCINO ESPECIAL IMPERIAL 122 ,122,0.25
2023,10,2,23030, CRP, CREMA PURA,22,1
2023,10,2,23031, CRIO, CREMA IMPERIAL ORO,59,1
2023,10,2,23032, CRE, CREMA EXTRA,34,4
2023,10,2,23032, JAPCPR, JAMON PIERNA CAPIS (PRO),99,1
2023,10,2,23033, ACOM1, ACEITE OLIVA E.V. MONASTERIO 1L,89,2
2023,10,2,23034, SAVZC1, SALCHICHA VIENA CAPIS 1KG (PRO),57.5,1
2023,10,2,23035, TOHIR, TORTILLA HARINA IMPERIAL 8PZ,12.5,2
2023,10,2,23036, QUCMMD, QUESO CUBICADO MIXTO MAYOREO (PRO),77.5,50
2023,10,2,23036, JAR, JAMON AMERICANO RIOJA (PRO),71,3
2023,10,2,23037, JACR, JAMON COCIDO RIOJA (PRO),63,1
2023,10,2,23038, QU, QUESO PANELA IMPERIAL 69,45,1
2023,10,2,23039, QUFSMM1, ADOBERA SAN MIGUEL DORADA 1K (PRO) 135,134,2.585
2023,10,2,23040, CRZP, CREMA ORDE√ëA (PRO),29,4
2023,10,2,23041, QUAMM, ADOBERA FUNDIR MOY 1/2KG 139,69.5,1
2023,10,2,23041, QUAMK, ADOBERA FUNDIR MOY 1KG 139,139,1
2023,10,2,23041, CHRZG, CHILES RAJAS GRANEL (PRO),37,0.25
2023,10,2,23041, CRP, CREMA PURA,22,0.5
2023,10,2,23041, CRP, CREMA PURA,22,2
2023,10,2,23042, QUOIP, QUESO OAXACA IMPERIAL PLATO (PRO) 89,89,2
2023,10,2,23043, QUAMM, ADOBERA FUNDIR MOY 1/2KG 139,69.5,4
2023,10,2,23043, QUFSMD, ADOBERA SAN MIGUEL DORADA 1/4KG 135,33.5,12
2023,10,2,23043, QUFSMDM, ADOBERA SAN MIGUEL DORADA 1/2KG 135,67,8
2023,10,2,23043, CARA, CARNE RES AMPARITO 1KG,66,1
2023,10,2,23043, CRIO, CREMA IMPERIAL ORO,59,6
2023,10,2,23043, JAYR, JAMON YORK RIOJA (PRO),101.5,6
2023,10,2,23044, QUOIM, QUESO OAXACA IMPERIAL 1/2KG 89,44.5,1
2023,10,2,23045, QUAMK, ADOBERA FUNDIR MOY 1KG 139,139,3.925
2023,10,2,23046, QUCAI, QUESO COTIJA ANEJO IMPERIAL 154,154,7.08
2023,10,2,23047, CALDCM, CAJETA LUPERCIO DOBLE CREMA 1/2KG(PRO),31,10
2023,10,2,23047, REIO, REQUESON IMPERIAL ORO 47,47,2
2023,10,2,23047, CRIO, CREMA IMPERIAL ORO,59,3
2023,10,2,23048, CRIO, CREMA IMPERIAL ORO,59,0.5
2023,10,2,23049, ADMOMD, ADOBERA MESA IMPERIAL ORO MAYOREO 103,103,16.47
2023,10,2,23049, REIO, REQUESON IMPERIAL ORO 47,47,8
2023,10,2,23049, CRCMCHORROMAY, CREMA IMPERIAL MAYOREO,43,15
2023,10,2,23050, QUCMI, QUESO CUBICADO MIXTO IMPERIAL (PRO),79.5,1
2023,10,2,23050, CRE, CREMA EXTRA,34,2
2023,10,2,23051, QU, QUESO PANELA IMPERIAL 69,45,1
2023,10,2,23052, QUFSMDM, ADOBERA SAN MIGUEL DORADA 1/2KG 135,67,2
2023,10,2,23053, QUCC2, QUESO CREMA IMPERIAL 2.2KG,112,1
2023,10,2,23053, REIO, REQUESON IMPERIAL ORO 47,47,0.25
2023,10,2,23054, QUFSMM1, ADOBERA SAN MIGUEL DORADA 1K (PRO) 135,134,1.055
2023,10,2,23054, CHPR, CHICHARRON PRENSADO ROJO (PRO) 129,129,1.215
2023,10,2,23055, CUPIM, CUERITOS PICADOS 1KG MAYOREO,17,10
2023,10,2,23055, CHPR, CHICHARRON PRENSADO ROJO (PRO) 129,129,7.06
2023,10,2,23056, CRCCHORRO, CREMA IMPERIAL              ,44,3
2023,10,2,23057, QUAMM, ADOBERA FUNDIR MOY 1/2KG 139,69.5,10
2023,10,2,23058, CHRV3A, CHILES RAJAS VITROLERO 3.8KG,69,1
2023,10,2,23058, CAYG, CATSUP YOLI GALON,70,2
2023,10,2,23058, PEP3, PEPIAN PROVINCIANO 3KG,194,1
2023,10,2,23058, CRCCHORRO, CREMA IMPERIAL              ,44,5
2023,10,2,23059, CRL450, CREMA LALA 426ML ROJA,34,1
2023,10,2,23060, CRCCHORRO, CREMA IMPERIAL              ,44,1
2023,10,2,23061, QUOSJ, QUESO OAXACA IMPERIAL ORO 1/2KG 122,61,4
2023,10,2,23062, SAPZC2, SALCHICHA PAVO CAPIS 2.5KG (PRO),134,1
2023,10,2,23062, JAVPCAP, JAMON VIRGINIA PAVO CAPIS (PRO),111,1.5
2023,10,2,23063, CHRZG, CHILES RAJAS GRANEL (PRO),37,1
2023,10,2,23064, QU, QUESO PANELA IMPERIAL 69,45,1.046153846
2023,10,2,23065, CRCCHORRO, CREMA IMPERIAL              ,44,2
2023,10,2,23065, CRIO, CREMA IMPERIAL ORO,59,3
2023,10,2,23066, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105,105,3.15
2023,10,2,23066, CRCCHORRO, CREMA IMPERIAL              ,44,2
2023,10,2,23067, QUAMMM, QUESO ASADERO MOY 1KG (PRO),134,3.975
2023,10,2,23067, CRCCHORRO, CREMA IMPERIAL              ,44,2
2023,10,2,23068, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105,105,2
2023,10,2,23069, QUAMK, ADOBERA FUNDIR MOY 1KG 139,139,0.98
2023,10,2,23069, QUOIMK, QUESO OAXACA IMPERIAL 1/4KG 89,22.25,5.31
2023,10,2,23069, QUCB, QUESO CREMA IMPERIAL KILO,53,1
2023,10,2,23070, CRCCHORRO, CREMA IMPERIAL              ,44,4
2023,10,2,23071, QUOIC, QUESO OAXACA IMPERIAL 1KG 89,89,0.98
2023,10,2,23072, CRIO, CREMA IMPERIAL ORO,59,0.5
2023,10,2,23072, TOEIP, TOCINO ESPECIAL IMPERIAL 122 ,122,0.25
2023,10,2,23073, CRCCHORRO, CREMA IMPERIAL              ,44,0.5
2023,10,2,23074, ARRI, ARRACHERA MARINADA IMPERIAL,84,15
2023,10,2,23074, TOJI, TORTILLA HARINA IMPERIAL 10PZ JUMBO ,42,3
2023,10,2,23075, REZM, REQUESON ORDENA MAYOR DIEZ (PRO) 41,41,40
2023,10,2,23076, CRIO, CREMA IMPERIAL ORO,59,1
2023,10,2,23077, JAR, JAMON AMERICANO RIOJA (PRO),71,0.5
2023,10,2,23078, CRCCHORRO, CREMA IMPERIAL              ,44,2
2023,10,2,23079, QUMEV, QUESO MOLIDO ECONOMICO VANIA (PRO),28,1
2023,10,2,23079, QUM, QUESO MOLIDO MONARCA ,76,1
2023,10,2,23079, CRZP, CREMA ORDE√ëA (PRO),29,3
2023,10,2,23080, CARA, CARNE RES AMPARITO 1KG,66,3
2023,10,2,23081, MOP3, MOLE PROVINCIANO 3KG,194,1
2023,10,2,23081, CRP, CREMA PURA,22,3
2023,10,2,23082, CRE, CREMA EXTRA,34,3
2023,10,2,23082, JAPCPR, JAMON PIERNA CAPIS (PRO),99,0.5
2023,10,2,23083, JAR, JAMON AMERICANO RIOJA (PRO),71,4
2023,10,2,23083, TOZFR1, TOCINO ESPECIAL ACOMODADO 129,129,3
2023,10,2,23084, QU, QUESO PANELA IMPERIAL 69,45,1
2023,10,2,23084, CRCCHORRO, CREMA IMPERIAL              ,44,1.5
2023,10,2,23084, CRP, CREMA PURA,22,1.5
2023,10,2,23085, CRIO, CREMA IMPERIAL ORO,59,1
2023,10,2,23086, CRCCHORRO, CREMA IMPERIAL              ,44,1
2023,10,2,23087, RET, RECORTE TOCINO IMPERIAL,69,0.5
2023,10,2,23088, JAPCPR, JAMON PIERNA CAPIS (PRO),99,0.75
2023,10,2,23089, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105,105,3
2023,10,2,23089, JAR, JAMON AMERICANO RIOJA (PRO),71,5
2023,10,2,23090, CRCCHORRO, CREMA IMPERIAL              ,44,2
2023,10,2,23091, RET, RECORTE TOCINO IMPERIAL,69,0.5
2023,10,2,23092, QUPC, QUESO PANELA IMPERIAL CUADRADA 1KG 69,69,6.18
2023,10,2,23093, QU, QUESO PANELA IMPERIAL 69,45,1.107692308
2023,10,2,23093, QUFSMDM, ADOBERA SAN MIGUEL DORADA 1/2KG 135,67,2
2023,10,2,23093, CARA, CARNE RES AMPARITO 1KG,66,1
2023,10,2,23094, ARRI, ARRACHERA MARINADA IMPERIAL,84,1
2023,10,2,23095, CRIO, CREMA IMPERIAL ORO,59,4
2023,10,2,23096, CHPR, CHICHARRON PRENSADO ROJO (PRO) 129,129,9.58
2023,10,2,23097, QUAM, ADOBERA FUNDIR MOY 1/4KG 139,34.75,3
2023,10,2,23098, ARRI, ARRACHERA MARINADA IMPERIAL,84,1
2023,10,2,23098, CARA, CARNE RES AMPARITO 1KG,66,1
2023,10,2,23098, CRIO, CREMA IMPERIAL ORO,59,0.25
2023,10,2,23099, ADMO1, ADOBERA MESA IMPERIAL ORO 1KG 105,105,4.205
2023,10,2,23099, QUOSC, QUESO OAXACA IMPERIAL ORO 1KG 122,122,1
2023,10,2,23099, QUMEVB, QUESO MOLIDO ECONOMICO VANIA (PRO) 5KG,137.5,1
2023,10,2,23099, QUMM, QUESO MOLIDO MONARCA 5KG BOLSA ,377.5,1
2023,10,2,23100, CRE, CREMA EXTRA,34,3
2023,10,2,23101, REZ, REQUESON ORDENA (PRO) 43,43,7
2023,10,2,23102, QUCC2, QUESO CREMA IMPERIAL 2.2KG,112,1
2023,10,2,23102, LED24C, LECHERA DUPAOLI 24KG CUBETA GRANDE,1105,1
2023,10,2,23103, CRZP, CREMA ORDE√ëA (PRO),29,3
2023,10,2,23104, ARRI, ARRACHERA MARINADA IMPERIAL,84,10
2023,10,2,23104, TOJI, TORTILLA HARINA IMPERIAL 10PZ JUMBO ,42,2
2023,10,2,23104, CRCCUCHORRO, CREMA IMPERIAL CUBETA 18KG,785,1
2023,10,2,23105, CRCCHORRO, CREMA IMPERIAL              ,44,1
